average flux in [cosZ = 0.60 --  0.70, phi_Az =   0 -- 360]
Enu        NuMu       NuMubar    NuE        NuEbar  
2.5119E+02 1.6470E-05 1.0942E-05 8.2973E-07 6.7787E-07
2.8184E+02 1.1517E-05 7.5720E-06 5.5826E-07 4.5914E-07
3.1623E+02 8.0174E-06 5.2430E-06 3.8008E-07 3.0816E-07
3.5481E+02 5.5596E-06 3.6117E-06 2.5675E-07 2.0724E-07
3.9811E+02 3.8637E-06 2.4918E-06 1.7285E-07 1.3923E-07
4.4668E+02 2.6822E-06 1.7197E-06 1.1746E-07 9.4152E-08
5.0119E+02 1.8596E-06 1.1830E-06 7.9825E-08 6.2911E-08
5.6234E+02 1.2937E-06 8.1722E-07 5.3291E-08 4.2020E-08
6.3096E+02 8.9003E-07 5.5939E-07 3.6202E-08 2.8259E-08
7.0795E+02 6.1408E-07 3.8194E-07 2.4430E-08 1.9046E-08
7.9433E+02 4.2218E-07 2.6097E-07 1.6383E-08 1.2636E-08
8.9125E+02 2.8974E-07 1.7851E-07 1.1010E-08 8.4629E-09
1.0000E+03 2.0031E-07 1.2249E-07 7.3428E-09 5.6393E-09
1.1220E+03 1.3600E-07 8.2450E-08 4.9290E-09 3.7375E-09
1.2589E+03 9.2801E-08 5.5910E-08 3.3147E-09 2.4856E-09
1.4125E+03 6.3109E-08 3.7931E-08 2.1980E-09 1.6710E-09
1.5849E+03 4.2800E-08 2.5589E-08 1.4575E-09 1.1185E-09
1.7783E+03 2.8955E-08 1.7206E-08 9.8102E-10 7.3887E-10
1.9953E+03 1.9639E-08 1.1592E-08 6.5000E-10 4.8411E-10
2.2387E+03 1.3258E-08 7.7683E-09 4.2977E-10 3.1836E-10
2.5119E+03 8.8937E-09 5.2025E-09 2.8489E-10 2.1238E-10
2.8184E+03 5.9816E-09 3.4714E-09 1.8675E-10 1.4405E-10
3.1623E+03 4.1052E-09 2.3747E-09 1.2319E-10 9.1379E-11
3.5481E+03 2.6600E-09 1.5358E-09 8.2035E-11 5.9630E-11
3.9811E+03 1.7724E-09 1.0210E-09 5.4257E-11 3.9972E-11
4.4668E+03 1.1811E-09 6.7472E-10 3.6102E-11 2.6197E-11
5.0119E+03 7.8988E-10 4.4584E-10 2.3625E-11 1.7056E-11
5.6234E+03 5.2191E-10 2.9361E-10 1.5515E-11 1.1266E-11
6.3096E+03 3.4415E-10 1.9353E-10 1.0275E-11 7.2142E-12
7.0795E+03 2.2751E-10 1.2716E-10 6.7622E-12 4.7673E-12
7.9433E+03 1.5012E-10 8.3358E-11 4.3149E-12 3.0894E-12
8.9125E+03 9.9275E-11 5.5016E-11 2.8413E-12 1.9940E-12
1.0000E+04 6.5357E-11 3.5886E-11 1.8601E-12 1.2877E-12
